Solvent,Epsilon
Water,78.3553
Acetonitrile,35.688
Methanol,32.613
Ethanol,24.852
IsoQuinoline,11.0
Quinoline,9.16
Chloroform,4.7113
DiethylEther,4.24
Dichloromethane,8.93
DiChloroEthane,10.125
CarbonTetraChloride,2.228
Benzene,2.2706
Toluene,2.3741
ChloroBenzene,5.6968
NitroMethane,36.562
Heptane,1.9113
CycloHexane,2.0165
Aniline,6.8882
Acetone,20.493
TetraHydroFuran,7.4257
DiMethylSulfoxide,46.826
Argon,1.43
Krypton,1.519
Xenon,1.706
n-Octanol,9.8629
"1,1,1-TriChloroEthane",7.0826
"1,1,2-TriChloroEthane",7.1937
"1,2,4-TriMethylBenzene",2.3653
"1,2-DiBromoEthane",4.9313
"1,2-EthaneDiol",40.245
"1,4-Dioxane",2.2099
1-Bromo-2-MethylPropane,7.7792
1-BromoOctane,5.0244
1-BromoPentane,6.269
1-BromoPropane,8.0496
1-Butanol,17.332
1-ChloroHexane,5.9491
1-ChloroPentane,6.5022
1-ChloroPropane,8.3548
1-Decanol,7.5305
1-FluoroOctane,3.89
1-Heptanol,11.321
1-Hexanol,12.51
1-Hexene,2.0717
1-Hexyne,2.615
1-IodoButane,6.173
1-IodoHexaDecane,3.5338
1-IodoPentane,5.6973
1-IodoPropane,6.9626
1-NitroPropane,23.73
1-Nonanol,8.5991
1-Pentanol,15.13
1-Pentene,1.9905
1-Propanol,20.524
"2,2,2-TriFluoroEthanol",26.726
"2,2,4-TriMethylPentane",1.9358
"2,4-DiMethylPentane",1.8939
"2,4-DiMethylPyridine",9.4176
"2,6-DiMethylPyridine",7.1735
2-BromoPropane,9.361
2-Butanol,15.944
